concept,bet_old,bet_new,bet_change,deg_old,deg_new,old_provisions,new_provisions,status
personnel,0.0,0.0,0.0,0.0,0.0083,0,1,absent
arrears,0.0,0.0,0.0,0.0,0.018,0,1,absent
duties of designers,0.0,0.0,0.0,0.0,0.0055,0,1,absent
housing,0.0,0.0,0.0,0.0,0.0166,0,1,absent
worker information,0.0,0.0,0.0,0.0123,0.0,1,0,absent
tillage,0.0,0.0,0.0,0.0309,0.0,1,0,absent
document,0.0,0.0,0.0,0.0,0.0097,0,2,absent
government order,0.0,0.0,0.0,0.0,0.0028,0,1,absent
commission,0.0,0.0,0.0,0.0,0.0042,0,1,absent
previous conviction,0.0,0.0,0.0,0.0,0.0097,0,1,absent
limitation period,0.0,0.0,0.0,0.0,0.0069,0,1,absent
non-disclosure,0.0,0.0,0.0,0.0,0.0152,0,1,absent
management,0.0,0.0,0.0,0.0,0.0097,0,1,absent
forfeiture,0.0,0.0,0.0,0.0,0.0028,0,1,absent
category of workmen,0.0,0.0,0.0,0.0093,0.0,1,0,absent
damage to property,0.0,0.0,0.0,0.0031,0.0,1,0,absent
cancellation of registration,0.0,0.0,0.0,0.0,0.0111,0,1,absent
career services,0.0,0.0,0.0,0.0,0.0083,0,1,absent
assessment order,0.0,0.0,0.0,0.0,0.0055,0,1,absent
available surplus,0.0,0.0,0.0,0.0,0.0055,0,1,absent
labour tribunal,0.0,0.0,0.0,0.0123,0.0,1,0,absent
fuel gases,0.0,0.0,0.0,0.0216,0.0,1,0,absent
detention,0.0,0.0,0.0,0.0,0.018,0,1,absent
instigation,0.0,0.0,0.0,0.0062,0.0,1,0,absent
registering officer,0.0,0.0,0.0,0.0093,0.0,1,0,absent
administrative action,0.0,0.0,0.0,0.0,0.0028,0,1,absent
prescribed form and manner,0.0,0.0,0.0,0.0,0.0055,0,1,absent
probationer,0.0,0.0,0.0,0.0,0.0083,0,1,absent
last person to be employed,0.0,0.0,0.0,0.0093,0.0,1,0,absent
mala fide,0.0,0.0,0.0,0.0093,0.0,1,0,absent
high court,0.0,0.0,0.0,0.0,0.0069,0,1,absent
maintenance of supplies and services,0.0,0.0,0.0,0.0123,0.0,1,0,absent
social security schemes,0.0,0.0,0.0,0.0,0.0055,0,1,absent
portability of benefits,0.0,0.0,0.0,0.0,0.0069,0,1,absent
scheme of arrangement,0.0,0.0,0.0,0.0,0.0097,0,1,absent
negotiating council,0.0,0.0,0.0,0.0,0.0028,0,1,absent
employees' provident fund,0.0,0.0,0.0,0.0,0.0111,0,1,absent
self-assessment,0.0,0.0,0.0,0.0,0.0055,0,1,absent
women representation,0.0,0.0,0.0,0.0,0.0097,0,1,absent
hazardous process,0.0,0.0,0.0,0.0,0.0083,0,1,absent
government officer,0.0,0.0,0.0,0.0123,0.0,1,0,absent
auditing,0.0,0.0,0.0,0.0,0.0069,0,1,absent
industrial tribunals,0.0,0.0,0.0,0.0031,0.0,1,0,absent
registrar,0.0,0.0,0.0,0.0123,0.0014,1,1,absent
organised sector,0.0,0.0,0.0,0.0,0.0055,0,1,absent
employees,0.0,0.0,0.0,0.0,0.0014,0,1,absent
building and other construction cess fund,0.0,0.0,0.0,0.0,0.0069,0,1,absent
powers,0.0,0.0,0.0,0.0,0.0097,0,1,absent
timbering,0.0,0.0,0.0,0.0309,0.0,1,0,absent
lump sum payment,0.0,0.0,0.0,0.0,0.0069,0,1,absent
conditions of licence,0.0,0.0,0.0,0.0154,0.0,1,0,absent
deduction,0.0,0.0,0.0,0.0123,0.0028,1,1,absent
recovery of money,0.0,0.0,0.0,0.0,0.0069,0,1,absent
life insurance benefits,0.0,0.0,0.0,0.0,0.0042,0,1,absent
charges,0.0,0.0,0.0,0.0,0.018,0,1,absent
group insurance scheme,0.0,0.0,0.0,0.0,0.0125,0,1,absent
reasonableness,0.0,0.0,0.0,0.0,0.0069,0,1,absent
building worker,0.0,0.0,0.0,0.0,0.0055,0,1,absent
temporary worker,0.0,0.0,0.0,0.0,0.0083,0,1,absent
protection from legal proceedings,0.0,0.0,0.0,0.0031,0.0014,1,2,absent
manufacturing,0.0,0.0,0.0,0.0216,0.0,1,0,absent
heirs,0.0,0.0,0.0,0.0,0.0069,0,1,absent
office-bearer,0.0,0.0,0.0,0.0,0.0042,0,1,absent
qualifying conditions,0.0,0.0,0.0,0.0,0.0111,0,1,absent
record,0.0,0.0,0.0,0.0,0.0028,0,1,absent
wage period,0.0,0.0,0.0,0.0,0.0028,0,1,absent
old age pension,0.0,0.0,0.0,0.0,0.0055,0,1,absent
duty to maintain records,0.0,0.0,0.0,0.0062,0.0,1,0,absent
labour laws,0.0,0.0,0.0,0.0,0.0097,0,1,absent
cessation,0.0,0.0,0.0,0.0,0.0042,0,1,absent
pension account,0.0,0.0,0.0,0.0,0.0042,0,1,absent
employed person,0.0,0.0,0.0,0.0123,0.0,1,0,absent
independent recruitment,0.0,0.0,0.0,0.0,0.0152,0,1,absent
immunity,0.0,0.0,0.0,0.0093,0.0,1,0,absent
winding up,0.0,0.0,0.0,0.0,0.0097,0,1,absent
loss,0.0,0.0,0.0,0.0,0.0069,0,1,absent
dependants,0.0,0.0,0.0,0.0,0.0166,0,1,absent
medical attendance,0.0,0.0,0.0,0.0,0.0152,0,1,absent
arrest,0.0,0.0,0.0,0.0,0.018,0,1,absent
preference,0.0,0.0,0.0,0.0062,0.0028,1,1,absent
women employment,0.0,0.0,0.0,0.0,0.0042,0,1,absent
hazardous processes,0.0,0.0,0.0,0.0,0.0028,0,1,absent
administrative expenses,0.0,0.0,0.0,0.0,0.0097,0,2,absent
authorised officer,0.0,0.0,0.0,0.0,0.0069,0,1,absent
beneficiaries,0.0,0.0,0.0,0.0,0.0083,0,1,absent
composition,0.0,0.0,0.0,0.0,0.0097,0,1,absent
documents,0.0,0.0,0.0,0.0,0.0097,0,1,absent
improvement of plant or technique,0.0,0.0,0.0,0.0093,0.0042,1,1,absent
dissolution,0.0,0.0,0.0,0.0,0.0028,0,1,absent
employees' state insurance fund,0.0,0.0,0.0,0.0,0.0097,0,1,absent
neglect,0.0,0.0,0.0,0.0247,0.0152,2,3,absent
domestic service,0.0,0.0,0.0,0.0,0.0152,0,1,absent
employer obligation,0.0,0.0,0.0,0.0,0.0097,0,1,absent
certifying officer,0.0,0.0,0.0,0.0,0.0042,0,1,absent
public employment,0.0,0.0,0.0,0.0,0.0152,0,1,absent
old age homes,0.0,0.0,0.0,0.0,0.0166,0,1,absent
financial loss,0.0,0.0,0.0,0.0,0.0042,0,1,absent
citizen of india,0.0,0.0,0.0,0.0093,0.0,1,0,absent
employee's contribution,0.0,0.0,0.0,0.0,0.0125,0,4,absent
cause of action,0.0,0.0,0.0,0.0,0.0166,0,1,absent
rationalisation,0.0,0.0,0.0,0.0093,0.0042,1,1,absent
skill upgradation,0.0,0.0,0.0,0.0,0.0166,0,1,absent
return filing,0.0,0.0,0.0,0.0,0.0055,0,1,absent
display of abstracts,0.0,0.0,0.0,0.0123,0.0,1,0,absent
transfer of money,0.0,0.0,0.0,0.0,0.0042,0,1,absent
department,0.0,0.0,0.0,0.0,0.0097,0,1,absent
distribution and administration of money,0.0,0.0,0.0,0.0,0.0042,0,1,absent
employers,0.0,0.0,0.0,0.0,0.0083,0,1,absent
dairy farming,0.0,0.0,0.0,0.0309,0.0,1,0,absent
inspection scheme,0.0,0.0,0.0,0.0,0.0014,0,1,absent
actuary,0.0,0.0,0.0,0.0,0.0042,0,1,absent
relief,0.0,0.0,0.0,0.0093,0.0,1,0,absent
register,0.0,0.0,0.0,0.0031,0.0,1,0,absent
majority decision,0.0,0.0,0.0,0.0,0.0042,0,1,absent
facilitation centre,0.0,0.0,0.0,0.0,0.0055,0,1,absent
schedules,0.0,0.0,0.0,0.0,0.0055,0,2,absent
certification,0.0,0.0,0.0,0.0,0.0042,0,1,absent
wage ceiling,0.0,0.0,0.0,0.0,0.0111,0,1,absent
provisional measure,0.0,0.0,0.0,0.0,0.0028,0,1,absent
legal disability,0.0,0.0,0.0,0.0,0.0083,0,1,absent
forestry,0.0,0.0,0.0,0.0309,0.0,1,0,absent
permanent worker,0.0,0.0,0.0,0.0,0.0083,0,1,absent
age of retirement,0.0,0.0,0.0,0.0031,0.0,1,0,absent
certificate,0.0,0.0,0.0,0.0,0.0069,0,1,absent
